return_id,order_id,return_date,return_reason,return_amount,refund_method,return_status
RET00348,ORD0003815,01/10/2022,Size Issue,1397,Vodafone Cash,Refunded
RET00349,ORD0003818,06/12/2022,Duplicate Order,1600,Vodafone Cash,Refunded
RET00350,ORD0003824,31/08/2022,Changed Mind,11920,Fawry,Refunded
RET00351,ORD0003829,20/05/2023,Size Issue,1632,Debit Card,Refunded
RET00352,ORD0003833,21/08/2023,Wrong Item Delivered,1044,Debit Card,Refunded
RET00353,ORD0003835,24/10/2022,Changed Mind,1120,InstaPay,Refunded
RET00354,ORD0003836,05/10/2022,Quality Issue,10775,Credit Card,Refunded
RET00355,ORD0003838,12/05/2024,Duplicate Order,50397,Vodafone Cash,Refunded
RET00356,ORD0003851,19/11/2023,Defective Product,153,Debit Card,Refunded
RET00357,ORD0003853,04/07/2022,Defective Product,893.5,Vodafone Cash,Pending
RET00358,ORD0003867,02/12/2022,Duplicate Order,520,Debit Card,Refunded
RET00359,ORD0003885,08/01/2022,Quality Issue,2101.5,InstaPay,Refunded
RET00360,ORD0003890,18/12/2023,Size Issue,9333,Credit Card,Refunded
RET00361,ORD0003900,27/01/2022,Duplicate Order,880,InstaPay,Refunded
RET00362,ORD0003907,04/09/2024,Defective Product,1504,Debit Card,Refunded
RET00363,ORD0003917,29/10/2022,Size Issue,51260,Fawry,Refunded
RET00364,ORD0003922,21/09/2022,Quality Issue,24759,Debit Card,Refunded
RET00365,ORD0003935,08/09/2023,Wrong Item Delivered,160,Vodafone Cash,Pending
RET00366,ORD0003947,24/11/2023,Changed Mind,11360,InstaPay,Refunded
RET00367,ORD0003948,29/08/2022,Size Issue,161.5,Fawry,Refunded
RET00368,ORD0003952,27/03/2023,Duplicate Order,399,Credit Card,Refunded
RET00369,ORD0003964,06/12/2023,Defective Product,285,Fawry,Refunded
RET00370,ORD0003967,02/02/2024,Quality Issue,2654.5,Cash,Refunded
RET00371,ORD0003968,08/11/2024,Wrong Item Delivered,80,InstaPay,Refunded
RET00372,ORD0003970,19/02/2024,Quality Issue,510,Cash,Refunded
RET00373,ORD0003975,07/08/2024,Changed Mind,2744,Vodafone Cash,Refunded
RET00374,ORD0003994,14/02/2024,Wrong Item Delivered,270,Cash,Pending
RET00375,ORD0003997,28/11/2024,Wrong Item Delivered,2996,Credit Card,Refunded
RET00376,ORD0004008,11/07/2024,Changed Mind,285,Fawry,Refunded
RET00377,ORD0004022,11/10/2023,Duplicate Order,470,Cash,Refunded
RET00378,ORD0004028,05/06/2022,Wrong Item Delivered,950,Fawry,Refunded
RET00379,ORD0004034,17/07/2024,Size Issue,1962,Vodafone Cash,Pending
RET00380,ORD0004052,31/01/2022,Defective Product,3742,Debit Card,Rejected
RET00381,ORD0004063,10/02/2023,Changed Mind,2440,Credit Card,Refunded
RET00382,ORD0004141,09/07/2024,Quality Issue,587,Debit Card,Refunded
RET00383,ORD0004168,05/11/2022,Size Issue,1476.5,Debit Card,Refunded
RET00384,ORD0004175,08/06/2023,Wrong Item Delivered,750,Credit Card,Refunded
RET00385,ORD0004194,25/01/2024,Quality Issue,21288,Cash,Refunded
RET00386,ORD0004196,23/09/2024,Quality Issue,263.5,Cash,Refunded
RET00387,ORD0004201,12/06/2022,Changed Mind,190,Cash,Refunded
RET00388,ORD0004206,14/11/2022,Quality Issue,39450,Credit Card,Refunded
RET00389,ORD0004216,08/04/2023,Size Issue,531,Vodafone Cash,Pending
RET00390,ORD0004218,19/09/2024,Quality Issue,1246.5,Cash,Refunded
RET00391,ORD0004227,17/05/2024,Defective Product,2154,Credit Card,Refunded
RET00392,ORD0004243,13/06/2022,Size Issue,731.5,Debit Card,Refunded
RET00393,ORD0004248,11/06/2023,Duplicate Order,2232,InstaPay,Refunded
RET00394,ORD0004269,13/09/2023,Changed Mind,378,Cash,Refunded
RET00395,ORD0004286,24/04/2024,Duplicate Order,5640,Cash,Refunded
RET00396,ORD0004314,21/08/2023,Wrong Item Delivered,2400,Fawry,Pending
RET00397,ORD0004327,29/12/2023,Changed Mind,627,InstaPay,Refunded
RET00398,ORD0004353,16/11/2023,Wrong Item Delivered,1838.5,Vodafone Cash,Refunded
RET00399,ORD0004360,21/11/2023,Size Issue,441,Fawry,Refunded
RET00400,ORD0004363,03/05/2023,Defective Product,223.5,Debit Card,Refunded
RET00401,ORD0004385,11/09/2023,Changed Mind,364,Fawry,Rejected
RET00402,ORD0004399,19/06/2023,Changed Mind,1872,Fawry,Refunded
RET00403,ORD0004409,04/11/2023,Defective Product,378,Debit Card,Refunded
RET00404,ORD0004417,17/03/2023,Duplicate Order,225,InstaPay,Refunded
RET00405,ORD0004423,10/06/2023,Wrong Item Delivered,228,InstaPay,Pending
RET00406,ORD0004426,09/09/2024,Changed Mind,10392,Vodafone Cash,Refunded
RET00407,ORD0004445,10/07/2022,Quality Issue,2366,Cash,Rejected
RET00408,ORD0004447,20/09/2022,Wrong Item Delivered,190,Vodafone Cash,Pending
RET00409,ORD0004494,21/03/2022,Duplicate Order,804,Credit Card,Refunded
RET00410,ORD0004503,09/12/2023,Quality Issue,21450,Debit Card,Refunded
RET00411,ORD0004509,04/05/2022,Size Issue,9333,Fawry,Refunded
RET00412,ORD0004510,22/07/2023,Quality Issue,270,Cash,Refunded
RET00413,ORD0004519,23/06/2023,Quality Issue,1271.5,Fawry,Refunded
RET00414,ORD0004526,13/08/2022,Size Issue,980,InstaPay,Refunded
RET00415,ORD0004535,04/08/2022,Wrong Item Delivered,38766,InstaPay,Refunded
RET00416,ORD0004543,06/10/2022,Changed Mind,1884.5,Cash,Rejected
RET00417,ORD0004544,17/05/2024,Wrong Item Delivered,690,Debit Card,Refunded
RET00418,ORD0004579,10/03/2023,Quality Issue,2337.5,InstaPay,Refunded
RET00419,ORD0004582,01/09/2023,Quality Issue,1650,Cash,Rejected
RET00420,ORD0004607,19/10/2022,Defective Product,835.5,Credit Card,Refunded
RET00421,ORD0004609,17/12/2023,Wrong Item Delivered,21390,Cash,Rejected
RET00422,ORD0004633,08/04/2023,Changed Mind,504,InstaPay,Refunded
RET00423,ORD0004647,05/10/2023,Defective Product,536,Credit Card,Refunded
RET00424,ORD0004656,25/07/2024,Changed Mind,3049,Debit Card,Refunded
RET00425,ORD0004668,15/11/2024,Wrong Item Delivered,1776.5,Credit Card,Refunded
RET00426,ORD0004681,20/05/2022,Changed Mind,8900,Fawry,Refunded
RET00427,ORD0004684,31/08/2024,Defective Product,468,Credit Card,Refunded
RET00428,ORD0004715,24/10/2023,Changed Mind,95870,Cash,Refunded
RET00429,ORD0004719,04/08/2024,Duplicate Order,8010,Credit Card,Refunded
RET00430,ORD0004729,01/05/2024,Duplicate Order,260,Debit Card,Rejected
RET00431,ORD0004732,05/07/2024,Size Issue,3216,Debit Card,Refunded
RET00432,ORD0004741,20/12/2023,Changed Mind,5872,Credit Card,Pending
RET00433,ORD0004745,07/06/2022,Wrong Item Delivered,210,Vodafone Cash,Refunded
RET00434,ORD0004753,30/05/2022,Changed Mind,120,Cash,Refunded
RET00435,ORD0004756,03/02/2023,Duplicate Order,210,Fawry,Refunded
RET00436,ORD0004772,02/02/2023,Size Issue,1962.5,Credit Card,Refunded
RET00437,ORD0004789,21/07/2023,Duplicate Order,2542,Cash,Pending
RET00438,ORD0004802,23/05/2023,Duplicate Order,579.5,Vodafone Cash,Refunded
RET00439,ORD0004803,04/12/2024,Size Issue,127.5,Fawry,Refunded
RET00440,ORD0004806,22/01/2024,Defective Product,437,Cash,Refunded
RET00441,ORD0004822,04/03/2022,Wrong Item Delivered,337.5,Fawry,Rejected
RET00442,ORD0004824,19/10/2022,Size Issue,1170,Vodafone Cash,Refunded
RET00443,ORD0004832,21/10/2022,Size Issue,24260,Credit Card,Refunded
RET00444,ORD0004844,07/09/2023,Duplicate Order,45143,Fawry,Refunded
RET00445,ORD0004860,13/02/2023,Quality Issue,120,Fawry,Rejected
RET00446,ORD0004884,18/09/2023,Wrong Item Delivered,384,Credit Card,Rejected
RET00447,ORD0004885,20/06/2023,Changed Mind,5945,Fawry,Pending
RET00448,ORD0004895,13/06/2024,Wrong Item Delivered,12025,Vodafone Cash,Refunded
RET00449,ORD0004897,18/04/2022,Wrong Item Delivered,991,InstaPay,Refunded
RET00450,ORD0004906,28/08/2022,Changed Mind,1046.5,Cash,Refunded
RET00451,ORD0004931,08/09/2022,Quality Issue,672,Debit Card,Refunded
RET00452,ORD0004953,25/02/2023,Quality Issue,612,Credit Card,Refunded
RET00453,ORD0004958,21/07/2023,Defective Product,35640,Cash,Refunded
RET00454,ORD0004974,07/04/2024,Duplicate Order,990,Cash,Rejected
RET00455,ORD0004989,06/01/2024,Duplicate Order,700,Vodafone Cash,Refunded
RET00456,ORD0004991,17/05/2023,Quality Issue,5756,Fawry,Refunded
RET00457,ORD0005003,15/01/2024,Defective Product,513,Debit Card,Refunded
RET00458,ORD0005010,24/02/2023,Defective Product,450,Credit Card,Refunded
RET00459,ORD0005016,08/04/2022,Duplicate Order,712,Vodafone Cash,Pending
RET00460,ORD0005040,06/10/2024,Changed Mind,437,Fawry,Rejected
RET00461,ORD0005042,15/12/2022,Defective Product,909,Cash,Pending
RET00462,ORD0005048,26/05/2023,Wrong Item Delivered,567,Vodafone Cash,Refunded
RET00463,ORD0005051,08/12/2024,Defective Product,1033.5,Credit Card,Refunded
RET00464,ORD0005076,10/04/2024,Quality Issue,140,Debit Card,Refunded
RET00465,ORD0005087,28/01/2023,Quality Issue,81,Fawry,Rejected
RET00466,ORD0005093,13/12/2023,Quality Issue,716,Debit Card,Pending
RET00467,ORD0005098,27/04/2023,Duplicate Order,1264,Vodafone Cash,Pending
RET00468,ORD0005122,31/01/2024,Changed Mind,546,Vodafone Cash,Refunded
RET00469,ORD0005156,08/05/2024,Duplicate Order,1051,Vodafone Cash,Pending
RET00470,ORD0005166,09/12/2023,Quality Issue,180,Debit Card,Rejected
RET00471,ORD0005169,05/07/2023,Duplicate Order,230,InstaPay,Refunded
RET00472,ORD0005191,14/12/2024,Duplicate Order,1280,Cash,Refunded
RET00473,ORD0005204,13/09/2022,Wrong Item Delivered,1440,Fawry,Pending
RET00474,ORD0005207,01/02/2022,Defective Product,895,Vodafone Cash,Refunded
RET00475,ORD0005219,04/12/2022,Defective Product,1752,Credit Card,Pending
RET00476,ORD0005223,30/01/2024,Wrong Item Delivered,592,Vodafone Cash,Refunded
RET00477,ORD0005232,02/07/2022,Wrong Item Delivered,1175.5,Credit Card,Refunded
RET00478,ORD0005234,11/10/2022,Duplicate Order,993,InstaPay,Refunded
RET00479,ORD0005241,03/03/2023,Duplicate Order,2380,Debit Card,Refunded
RET00480,ORD0005247,17/06/2024,Duplicate Order,15725,Cash,Refunded
RET00481,ORD0005248,22/08/2024,Wrong Item Delivered,20689,Credit Card,Refunded
RET00482,ORD0005257,30/06/2024,Defective Product,1200,Cash,Refunded
RET00483,ORD0005258,11/07/2024,Quality Issue,117,InstaPay,Refunded
RET00484,ORD0005268,15/11/2023,Size Issue,255,Cash,Refunded
RET00485,ORD0005274,27/07/2023,Size Issue,21161,InstaPay,Refunded
RET00486,ORD0005279,13/12/2023,Quality Issue,920,Credit Card,Refunded
RET00487,ORD0005283,04/10/2022,Defective Product,1288,Vodafone Cash,Refunded
RET00488,ORD0005289,02/10/2024,Duplicate Order,14700,Cash,Refunded
RET00489,ORD0005293,05/05/2024,Defective Product,144,Cash,Refunded
RET00490,ORD0005305,13/09/2024,Quality Issue,420,Cash,Refunded
RET00491,ORD0005353,16/11/2022,Changed Mind,11824,Vodafone Cash,Refunded
RET00492,ORD0005376,29/04/2024,Changed Mind,300,Fawry,Refunded
RET00493,ORD0005379,26/03/2023,Changed Mind,1785.5,Cash,Refunded
RET00494,ORD0005393,05/01/2023,Size Issue,456,Credit Card,Rejected
RET00495,ORD0005406,05/01/2023,Defective Product,270,Debit Card,Refunded
RET00496,ORD0005419,23/02/2023,Changed Mind,18180,Credit Card,Refunded
RET00497,ORD0005425,09/04/2023,Changed Mind,280.5,InstaPay,Refunded
RET00498,ORD0005428,27/07/2023,Size Issue,590.5,Debit Card,Pending
RET00499,ORD0005429,31/12/2024,Defective Product,1435.5,Fawry,Refunded
RET00500,ORD0005436,27/04/2024,Changed Mind,615,Credit Card,Pending
RET00501,ORD0005438,08/02/2022,Wrong Item Delivered,208,Debit Card,Refunded
RET00502,ORD0005452,06/04/2023,Size Issue,507.5,Debit Card,Refunded
RET00503,ORD0005458,20/10/2024,Size Issue,693,Vodafone Cash,Refunded
RET00504,ORD0005461,30/07/2024,Duplicate Order,2927,Debit Card,Refunded
RET00505,ORD0005495,16/04/2022,Size Issue,2170,Fawry,Pending
RET00506,ORD0005524,13/08/2022,Changed Mind,684,Debit Card,Refunded
RET00507,ORD0005546,11/09/2022,Duplicate Order,655.5,InstaPay,Pending
RET00508,ORD0005552,05/01/2024,Changed Mind,405,Vodafone Cash,Refunded
RET00509,ORD0005564,22/03/2022,Defective Product,1052,InstaPay,Pending
RET00510,ORD0005585,15/12/2023,Defective Product,760,Fawry,Refunded
RET00511,ORD0005602,08/09/2023,Duplicate Order,520,Fawry,Pending
RET00512,ORD0005603,10/04/2022,Changed Mind,3920,Cash,Refunded
RET00513,ORD0005620,20/03/2022,Quality Issue,11334,Cash,Refunded
RET00514,ORD0005621,02/09/2024,Defective Product,270,InstaPay,Refunded
RET00515,ORD0005646,10/07/2024,Size Issue,1288.5,Cash,Pending
RET00516,ORD0005673,17/03/2022,Wrong Item Delivered,810,Vodafone Cash,Refunded
RET00517,ORD0005675,19/05/2024,Duplicate Order,3705,Fawry,Refunded
RET00518,ORD0005679,10/08/2022,Defective Product,13360,Fawry,Refunded
RET00519,ORD0005685,10/09/2022,Changed Mind,370,InstaPay,Refunded
RET00520,ORD0005687,16/06/2023,Size Issue,1153,InstaPay,Refunded
RET00521,ORD0005688,08/10/2023,Size Issue,2080,Vodafone Cash,Refunded
RET00522,ORD0005698,13/01/2022,Quality Issue,522,Debit Card,Rejected
RET00523,ORD0005700,25/08/2024,Changed Mind,494,InstaPay,Refunded
RET00524,ORD0005706,25/06/2023,Duplicate Order,1080,Debit Card,Refunded
RET00525,ORD0005710,18/10/2022,Quality Issue,720,Fawry,Pending
RET00526,ORD0005723,18/08/2024,Wrong Item Delivered,2932,Debit Card,Pending
RET00527,ORD0005743,30/12/2024,Quality Issue,1410,Debit Card,Pending
RET00528,ORD0005755,04/02/2023,Quality Issue,450,InstaPay,Refunded
RET00529,ORD0005756,29/12/2022,Size Issue,162,InstaPay,Refunded
RET00530,ORD0005760,20/10/2023,Duplicate Order,160,Cash,Refunded
RET00531,ORD0005778,24/01/2022,Changed Mind,2888,Fawry,Refunded
RET00532,ORD0005780,08/03/2022,Wrong Item Delivered,12788.5,Credit Card,Pending
RET00533,ORD0005781,13/07/2023,Duplicate Order,140,Vodafone Cash,Refunded
RET00534,ORD0005789,18/08/2024,Changed Mind,19800,InstaPay,Rejected
RET00535,ORD0005791,17/04/2022,Duplicate Order,700,Vodafone Cash,Refunded
RET00536,ORD0005795,13/04/2024,Size Issue,142.5,InstaPay,Refunded
RET00537,ORD0005812,28/07/2022,Changed Mind,300,InstaPay,Refunded
RET00538,ORD0005813,13/08/2024,Changed Mind,11071,Fawry,Refunded
RET00539,ORD0005828,26/05/2023,Duplicate Order,12540,Fawry,Refunded
RET00540,ORD0005830,17/06/2023,Size Issue,2528,Fawry,Refunded
RET00541,ORD0005835,07/09/2022,Defective Product,142.5,Vodafone Cash,Refunded
RET00542,ORD0005849,06/05/2023,Quality Issue,851,InstaPay,Refunded
RET00543,ORD0005863,13/03/2023,Size Issue,2800,InstaPay,Refunded
RET00544,ORD0005874,29/07/2022,Changed Mind,160,Fawry,Refunded
RET00545,ORD0005879,27/02/2024,Wrong Item Delivered,756,Fawry,Refunded
RET00546,ORD0005890,26/11/2022,Quality Issue,1880,Fawry,Refunded
RET00547,ORD0005891,04/05/2022,Size Issue,468,InstaPay,Refunded
RET00548,ORD0005898,05/09/2024,Defective Product,1967,Debit Card,Pending
RET00549,ORD0005902,10/09/2022,Changed Mind,782,Vodafone Cash,Refunded
RET00550,ORD0005923,29/12/2022,Quality Issue,2125.5,InstaPay,Rejected
RET00551,ORD0005941,19/05/2024,Wrong Item Delivered,2717.5,Cash,Refunded
RET00552,ORD0005963,11/08/2022,Quality Issue,640,Debit Card,Refunded
RET00553,ORD0005997,27/12/2022,Defective Product,840,Vodafone Cash,Refunded
RET00554,ORD0006005,26/04/2022,Size Issue,127.5,Vodafone Cash,Refunded
RET00555,ORD0006007,01/09/2024,Size Issue,581,Cash,Refunded
RET00556,ORD0006009,14/09/2023,Defective Product,399,Debit Card,Refunded
RET00557,ORD0006011,10/01/2023,Defective Product,1140,Credit Card,Refunded
RET00558,ORD0006013,01/04/2024,Quality Issue,140,Debit Card,Refunded
RET00559,ORD0006041,22/07/2023,Size Issue,360,Credit Card,Refunded
RET00560,ORD0006053,29/08/2022,Quality Issue,3003,Vodafone Cash,Pending
RET00561,ORD0006056,16/11/2024,Wrong Item Delivered,1657,InstaPay,Refunded
RET00562,ORD0006057,08/10/2024,Size Issue,13080,Vodafone Cash,Refunded
RET00563,ORD0006072,18/07/2023,Defective Product,130,Debit Card,Refunded
RET00564,ORD0006089,14/11/2022,Defective Product,850,Debit Card,Refunded
RET00565,ORD0006094,09/06/2024,Wrong Item Delivered,2535,Credit Card,Refunded
RET00566,ORD0006109,30/06/2024,Wrong Item Delivered,1356,Vodafone Cash,Refunded
RET00567,ORD0006126,15/05/2022,Wrong Item Delivered,624,Fawry,Refunded
RET00568,ORD0006143,08/04/2024,Duplicate Order,280,InstaPay,Refunded
RET00569,ORD0006156,06/12/2023,Defective Product,3422.5,Cash,Refunded
RET00570,ORD0006164,30/09/2022,Size Issue,480,Debit Card,Refunded
RET00571,ORD0006167,01/12/2023,Wrong Item Delivered,1120,Fawry,Refunded
RET00572,ORD0006182,28/05/2022,Changed Mind,1230,InstaPay,Refunded
RET00573,ORD0006187,14/04/2023,Size Issue,873,Credit Card,Refunded
RET00574,ORD0006200,25/04/2024,Size Issue,1052,Credit Card,Refunded
RET00575,ORD0006214,18/03/2022,Changed Mind,1158,InstaPay,Refunded
RET00576,ORD0006231,16/01/2023,Duplicate Order,680,Vodafone Cash,Refunded
RET00577,ORD0006270,26/05/2022,Defective Product,272,Cash,Refunded
RET00578,ORD0006279,13/07/2024,Defective Product,231,Credit Card,Refunded
RET00579,ORD0006284,02/04/2023,Size Issue,1938,Fawry,Rejected
RET00580,ORD0006296,24/04/2024,Defective Product,764,Cash,Refunded
RET00581,ORD0006306,10/08/2022,Size Issue,333,InstaPay,Pending
RET00582,ORD0006309,15/07/2024,Defective Product,190,Cash,Refunded
RET00583,ORD0006325,24/09/2024,Defective Product,720,Fawry,Refunded
RET00584,ORD0006326,24/06/2024,Defective Product,11740,InstaPay,Refunded
RET00585,ORD0006338,12/02/2023,Size Issue,1660,Vodafone Cash,Refunded
RET00586,ORD0006344,09/12/2023,Defective Product,142.5,Cash,Pending
RET00587,ORD0006351,05/04/2022,Wrong Item Delivered,1434,Fawry,Refunded
RET00588,ORD0006371,13/04/2023,Wrong Item Delivered,598,Cash,Refunded
RET00589,ORD0006390,08/01/2024,Changed Mind,980,Debit Card,Refunded
RET00590,ORD0006393,14/07/2023,Changed Mind,287,Credit Card,Pending
RET00591,ORD0006402,29/05/2023,Wrong Item Delivered,1326.5,Fawry,Pending
RET00592,ORD0006410,29/01/2022,Defective Product,453,InstaPay,Refunded
RET00593,ORD0006424,23/12/2022,Defective Product,2180,Vodafone Cash,Refunded
RET00594,ORD0006430,04/04/2022,Changed Mind,128,Vodafone Cash,Refunded
RET00595,ORD0006431,02/08/2024,Defective Product,17575,Debit Card,Refunded
RET00596,ORD0006433,14/01/2024,Duplicate Order,306,Fawry,Refunded
RET00597,ORD0006436,26/05/2022,Changed Mind,37740,Debit Card,Refunded
RET00598,ORD0006463,28/11/2024,Duplicate Order,1076,InstaPay,Pending
RET00599,ORD0006479,05/09/2024,Duplicate Order,855,Credit Card,Refunded
RET00600,ORD0006486,13/05/2024,Quality Issue,828,Credit Card,Refunded
RET00601,ORD0006488,19/01/2022,Changed Mind,863,Fawry,Refunded
RET00602,ORD0006519,15/12/2024,Defective Product,860,Cash,Refunded
RET00603,ORD0006520,13/11/2024,Quality Issue,731.5,Fawry,Pending
RET00604,ORD0006561,09/07/2024,Size Issue,32885,Credit Card,Refunded
RET00605,ORD0006562,21/11/2024,Quality Issue,1930,Debit Card,Refunded
RET00606,ORD0006580,17/04/2024,Duplicate Order,18033,InstaPay,Rejected
RET00607,ORD0006591,16/09/2022,Wrong Item Delivered,5000,Debit Card,Refunded
RET00608,ORD0006598,12/09/2022,Defective Product,1870,Vodafone Cash,Refunded
RET00609,ORD0006599,04/11/2024,Wrong Item Delivered,2240,Vodafone Cash,Refunded
RET00610,ORD0006611,03/05/2023,Wrong Item Delivered,1250,Cash,Refunded
RET00611,ORD0006645,19/06/2022,Quality Issue,520,InstaPay,Refunded
RET00612,ORD0006668,14/03/2023,Size Issue,1449,Vodafone Cash,Rejected
RET00613,ORD0006670,24/02/2022,Wrong Item Delivered,740,Debit Card,Pending
RET00614,ORD0006678,25/05/2023,Wrong Item Delivered,1554,Cash,Refunded
RET00615,ORD0006694,28/10/2024,Changed Mind,3994,Credit Card,Refunded
RET00616,ORD0006696,04/11/2023,Quality Issue,13989,Credit Card,Refunded
RET00617,ORD0006698,11/10/2023,Defective Product,1445.5,Cash,Refunded
RET00618,ORD0006725,04/10/2022,Wrong Item Delivered,370,InstaPay,Refunded
RET00619,ORD0006726,09/06/2024,Size Issue,864,Debit Card,Refunded
RET00620,ORD0006736,20/09/2023,Changed Mind,1290,Cash,Refunded
RET00621,ORD0006758,13/07/2023,Defective Product,960,Credit Card,Refunded
RET00622,ORD0006770,06/07/2023,Duplicate Order,700,InstaPay,Rejected
RET00623,ORD0006785,13/07/2024,Wrong Item Delivered,20628,Fawry,Refunded
RET00624,ORD0006800,31/05/2023,Defective Product,1394,Fawry,Rejected
RET00625,ORD0006804,14/03/2023,Wrong Item Delivered,1184,Cash,Refunded
RET00626,ORD0006807,30/03/2024,Wrong Item Delivered,1496,Fawry,Refunded
RET00627,ORD0006823,15/10/2022,Defective Product,322.5,Vodafone Cash,Refunded
RET00628,ORD0006845,01/04/2023,Wrong Item Delivered,399.5,Cash,Refunded
RET00629,ORD0006851,12/07/2024,Defective Product,160,Credit Card,Refunded
RET00630,ORD0006866,27/03/2024,Quality Issue,2460,Credit Card,Refunded
RET00631,ORD0006877,13/01/2023,Changed Mind,320,Fawry,Pending
RET00632,ORD0006880,11/02/2023,Duplicate Order,260,Fawry,Refunded
RET00633,ORD0006883,24/04/2022,Duplicate Order,3720,Cash,Rejected
RET00634,ORD0006922,19/04/2024,Defective Product,2253.5,Debit Card,Refunded
RET00635,ORD0006953,21/09/2023,Quality Issue,136,Cash,Pending
RET00636,ORD0006961,18/11/2024,Defective Product,456,Cash,Refunded
RET00637,ORD0006963,13/03/2022,Defective Product,12665,Vodafone Cash,Pending
RET00638,ORD0006964,16/10/2022,Defective Product,8109.5,Cash,Rejected
RET00639,ORD0006983,11/12/2022,Changed Mind,380,Debit Card,Refunded
RET00640,ORD0006995,14/08/2022,Quality Issue,90,Cash,Refunded
RET00641,ORD0007003,26/03/2024,Defective Product,698,Cash,Pending
RET00642,ORD0007009,28/01/2024,Changed Mind,1004,Vodafone Cash,Refunded
RET00643,ORD0007012,13/01/2022,Defective Product,270,InstaPay,Pending
RET00644,ORD0007024,19/07/2022,Changed Mind,480,InstaPay,Refunded
RET00645,ORD0007026,29/04/2022,Defective Product,1180,Credit Card,Refunded
RET00646,ORD0007047,01/07/2024,Defective Product,408,Cash,Refunded
RET00647,ORD0007059,26/01/2022,Duplicate Order,1327,Debit Card,Pending
RET00648,ORD0007060,19/04/2022,Wrong Item Delivered,1036,Cash,Refunded
RET00649,ORD0007061,23/07/2023,Wrong Item Delivered,1372,Credit Card,Rejected
RET00650,ORD0007063,27/07/2023,Defective Product,1171,Vodafone Cash,Pending
RET00651,ORD0007065,24/11/2023,Duplicate Order,1136,InstaPay,Pending
RET00652,ORD0007076,25/07/2022,Duplicate Order,720,Fawry,Refunded
RET00653,ORD0007104,12/05/2023,Size Issue,532,Cash,Refunded
RET00654,ORD0007105,07/09/2023,Changed Mind,840,Fawry,Refunded
RET00655,ORD0007112,02/10/2023,Quality Issue,1216,Cash,Refunded
RET00656,ORD0007121,23/02/2024,Wrong Item Delivered,936.5,Cash,Refunded
RET00657,ORD0007128,15/09/2022,Size Issue,6224,Vodafone Cash,Refunded
RET00658,ORD0007129,17/02/2022,Quality Issue,180,Debit Card,Refunded
RET00659,ORD0007135,06/10/2022,Quality Issue,350,Vodafone Cash,Refunded
RET00660,ORD0007177,06/05/2022,Size Issue,119,Fawry,Pending
RET00661,ORD0007202,17/01/2024,Wrong Item Delivered,1043,Vodafone Cash,Refunded
RET00662,ORD0007216,13/01/2023,Quality Issue,1848,Credit Card,Refunded
RET00663,ORD0007223,12/07/2023,Duplicate Order,300,InstaPay,Refunded
RET00664,ORD0007274,20/11/2022,Defective Product,911,Credit Card,Refunded
RET00665,ORD0007281,15/08/2023,Wrong Item Delivered,699,Cash,Rejected
RET00666,ORD0007293,24/03/2022,Duplicate Order,6847,Cash,Refunded
RET00667,ORD0007315,08/02/2022,Quality Issue,321,Vodafone Cash,Refunded
RET00668,ORD0007349,12/10/2023,Size Issue,1441,Cash,Refunded
RET00669,ORD0007375,16/03/2024,Changed Mind,28688,InstaPay,Rejected
RET00670,ORD0007382,18/10/2022,Wrong Item Delivered,577.5,Debit Card,Refunded
RET00671,ORD0007390,13/07/2023,Duplicate Order,1026,Credit Card,Refunded
RET00672,ORD0007392,10/04/2022,Wrong Item Delivered,544,InstaPay,Refunded
RET00673,ORD0007424,04/03/2024,Size Issue,2580,Debit Card,Pending
RET00674,ORD0007426,13/10/2022,Wrong Item Delivered,450,Cash,Pending
RET00675,ORD0007438,30/10/2023,Quality Issue,1475,Credit Card,Refunded
RET00676,ORD0007448,08/03/2022,Wrong Item Delivered,1738.5,InstaPay,Refunded
RET00677,ORD0007478,18/05/2024,Size Issue,936,Fawry,Refunded
RET00678,ORD0007490,28/11/2023,Wrong Item Delivered,3042.5,Credit Card,Refunded
RET00679,ORD0007526,01/05/2024,Duplicate Order,144,Vodafone Cash,Refunded
RET00680,ORD0007527,29/03/2024,Quality Issue,853,Credit Card,Pending
RET00681,ORD0007534,25/08/2023,Quality Issue,127.5,Fawry,Refunded
RET00682,ORD0007542,04/10/2022,Size Issue,13340,Debit Card,Refunded
RET00683,ORD0007543,09/11/2022,Changed Mind,1672.5,Credit Card,Refunded
RET00684,ORD0007553,27/01/2022,Quality Issue,457,Debit Card,Refunded
RET00685,ORD0007563,19/09/2023,Defective Product,459,Fawry,Refunded
RET00686,ORD0007565,28/03/2022,Defective Product,1976,Vodafone Cash,Pending
RET00687,ORD0007579,27/04/2022,Changed Mind,319.5,InstaPay,Refunded
RET00688,ORD0007596,25/08/2023,Wrong Item Delivered,1310,InstaPay,Pending
RET00689,ORD0007607,21/07/2023,Wrong Item Delivered,2760,Fawry,Refunded
RET00690,ORD0007624,30/04/2023,Changed Mind,2040,Fawry,Refunded
RET00691,ORD0007640,26/12/2022,Quality Issue,750,Debit Card,Rejected
RET00692,ORD0007671,29/12/2024,Size Issue,1072.5,Debit Card,Refunded
RET00693,ORD0007674,25/09/2024,Duplicate Order,1435.5,Debit Card,Refunded
RET00694,ORD0007689,29/04/2024,Defective Product,15300,Cash,Refunded
RET00695,ORD0007691,10/07/2023,Changed Mind,513,Vodafone Cash,Rejected
